perturbation,baseline:additive,baseline:control_mean,additive_relative_mse_reduction
CNN1+ETS2,0.007620639646974106,0.01468823507106055,0.481173904822054
DUSP9+MAPK1,0.03147221624445149,0.010276404160478425,-2.0625708908461498
ELMSAN1+MAP2K3,0.006361019148918204,0.031261667245069055,0.7965233556146454
FEV+MAP7D1,0.011120718992345555,0.056695539678700245,0.8038519598654873
KLF1+TGFBR2,0.008850167660144136,0.02774043428702255,0.6809650646210541
MAP2K3+SLC38A2,0.005655770339169665,0.017266708976418837,0.6724465358804763
PTPN12+PTPN9,0.005468160347179479,0.053675514132820984,0.8981256083798579
PTPN12+ZBTB10,0.010084797104232586,0.056283513028036476,0.8208214704151631
